wellname,time,Simulated,Observed
64272,1990-08-06,28.1868686676,15.1000003815
64272,1990-09-10,27.5370845795,13.1000003815
64272,1990-10-12,27.8977241516,13.0
64272,1990-11-07,28.6736354828,12.3000001907
64272,1990-12-12,29.7123813629,17.1000003815
64272,1991-01-16,30.6360569,18.6000003815
64272,1991-02-11,31.1255531311,19.1000003815
64272,1991-03-18,31.9054870605,21.3999996185
64272,1991-04-08,32.1021003723,26.5
64272,1991-05-09,31.698797226,-1.39999997616
64272,1991-06-20,30.9267501831,1.89999997616
64272,1991-07-09,30.4444770813,14.6000003815
64272,1991-08-19,29.0965766907,-1.39999997616
64272,1991-09-05,28.7458724976,-12.3999996185
64272,1991-10-29,29.5191555023,12.3999996185
64272,1991-11-14,29.7267780304,13.6000003815
64272,1991-12-10,29.9689025879,8.0
64272,1992-01-09,30.1461868286,17.6000003815
64272,1992-02-24,30.7622413635,17.5
64272,1992-03-20,31.2244911194,27.1000003815
64272,1992-04-10,31.4613552094,24.1000003815
64272,1992-06-10,30.1976280212,18.6000003815
64272,1992-07-06,29.3034420013,15.8999996185
64272,1992-09-14,27.4518165588,4.30000019073
64272,1992-11-19,28.9125556946,8.10000038147
64272,1992-12-07,29.5794830322,11.6000003815
64272,1993-01-19,30.8291435242,28.6000003815
64272,1993-02-22,31.0406284332,21.1000003815
64272,1993-03-22,31.0080432892,29.6000003815
64272,1993-04-29,30.9746761322,-17.3999996185
64272,1993-05-11,30.8792285919,13.6000003815
64272,1993-07-12,29.4181594849,5.19999980927
64272,1993-08-09,28.5503520966,13.3000001907
64272,1993-09-14,28.0568580627,10.3999996185
64272,1993-11-04,28.5904388428,10.8000001907
64272,1993-12-20,29.0085849762,16.8999996185
64272,1994-01-10,29.04637146,19.8999996185
64272,1994-02-23,29.6553249359,25.0
64272,1994-03-28,30.0053024292,25.6000003815
64272,1994-04-27,30.4982471466,23.7000007629
64272,1994-05-24,30.2937602997,23.5
64272,1994-06-14,29.3695640564,19.5
64272,1994-07-08,28.3987865448,14.1999998093
64272,1994-08-18,27.0554904938,7.90000009537
64272,1994-09-06,26.7091712952,8.89999961853
64272,1994-10-13,26.9829845428,8.5
64272,1994-11-17,27.6276245117,9.69999980927
64272,1994-12-27,29.0004405975,9.30000019073
64272,1995-01-18,29.447845459,28.8999996185
64272,1995-04-17,30.4270496368,29.6000003815
64272,1995-05-10,30.5296287537,30.6000003815
