sp,tstp,time
215,1,6529
215,2,6543
216,1,6558.5
216,2,6574
217,1,6589
217,2,6604
218,1,6619.5
218,2,6635
219,1,6650
219,2,6665
220,1,6680.5
220,2,6696
221,1,6711.5
221,2,6727
222,1,6742
222,2,6757
223,1,6772.5
223,2,6788
224,1,6803
224,2,6818
225,1,6833.5
225,2,6849
226,1,6864.5
226,2,6880
227,1,6894
227,2,6908
228,1,6923.5
228,2,6939
229,1,6954
229,2,6969
230,1,6984.5
230,2,7000
231,1,7015
231,2,7030
232,1,7045.5
232,2,7061
233,1,7076.5
233,2,7092
234,1,7107
234,2,7122
235,1,7137.5
235,2,7153
236,1,7168
236,2,7183
237,1,7198.5
237,2,7214
238,1,7229.5
238,2,7245
239,1,7259.5
239,2,7274
240,1,7289.5
240,2,7305
241,1,7320
241,2,7335
242,1,7350.5
242,2,7366
243,1,7381
243,2,7396
244,1,7411.5
244,2,7427
245,1,7442.5
245,2,7458
246,1,7473
246,2,7488
247,1,7503.5
247,2,7519
248,1,7534
248,2,7549
249,1,7564.5
249,2,7580
250,1,7595.5
250,2,7611
251,1,7625
251,2,7639
252,1,7654.5
252,2,7670
253,1,7685
253,2,7700
254,1,7715.5
254,2,7731
255,1,7746
255,2,7761
256,1,7776.5
256,2,7792
257,1,7807.5
257,2,7823
258,1,7838
258,2,7853
259,1,7868.5
259,2,7884
260,1,7899
260,2,7914
261,1,7929.5
261,2,7945
262,1,7960.5
262,2,7976
263,1,7990
263,2,8004
264,1,8019.5
264,2,8035
265,1,8050
265,2,8065
266,1,8080.5
266,2,8096
267,1,8111
267,2,8126
268,1,8141.5
268,2,8157
269,1,8172.5
269,2,8188
270,1,8203
270,2,8218
271,1,8233.5
271,2,8249
272,1,8264
272,2,8279
273,1,8294.5
273,2,8310
274,1,8325.5
274,2,8341
275,1,8355
275,2,8369
276,1,8384.5
276,2,8400
277,1,8415
277,2,8430
278,1,8445.5
278,2,8461
279,1,8476
279,2,8491
280,1,8506.5
280,2,8522
281,1,8537.5
281,2,8553
282,1,8568
282,2,8583
283,1,8598.5
283,2,8614
284,1,8629
284,2,8644
285,1,8659.5
285,2,8675
286,1,8690.5
286,2,8706
287,1,8720.5
287,2,8735
288,1,8750.5
288,2,8766
289,1,8781
289,2,8796
290,1,8811.5
290,2,8827
291,1,8842
291,2,8857
292,1,8872.5
292,2,8888
293,1,8903.5
293,2,8919
294,1,8934
294,2,8949
295,1,8964.5
295,2,8980
296,1,8995
296,2,9010
297,1,9025.5
297,2,9041
298,1,9056.5
298,2,9072
299,1,9086
299,2,9100
300,1,9115.5
300,2,9131
301,1,9146
301,2,9161
302,1,9176.5
302,2,9192
303,1,9207
303,2,9222
304,1,9237.5
304,2,9253
305,1,9268.5
305,2,9284
306,1,9299
306,2,9314
307,1,9329.5
307,2,9345
308,1,9360
308,2,9375
309,1,9390.5
309,2,9406
310,1,9421.5
310,2,9437
