 sp  tstp    time
 39     1  1171.0
 39     1  1171.0
 39     1  1171.0
 39     2  1186.0
 39     2  1186.0
 39     2  1186.0
 39     2  1186.0
 40     1  1201.5
 40     1  1201.5
 40     1  1201.5
 40     1  1201.5
 40     2  1217.0
 40     2  1217.0
 40     2  1217.0
 40     2  1217.0
 41     1  1232.5
 41     1  1232.5
 41     1  1232.5
 41     1  1232.5
 41     2  1248.0
 41     2  1248.0
 41     2  1248.0
 41     2  1248.0
 42     1  1263.0
 42     1  1263.0
 42     1  1263.0
 42     1  1263.0
 42     2  1278.0
 42     2  1278.0
 42     2  1278.0
 42     2  1278.0
 43     1  1293.5
 43     1  1293.5
 43     1  1293.5
 43     1  1293.5
 43     2  1309.0
 43     2  1309.0
 43     2  1309.0
 43     2  1309.0
 44     1  1324.0
 44     1  1324.0
 44     1  1324.0
 44     1  1324.0
 44     2  1339.0
 44     2  1339.0
 44     2  1339.0
 44     2  1339.0
 45     1  1354.5
 45     1  1354.5
 45     1  1354.5
 45     1  1354.5
 45     2  1370.0
 45     2  1370.0
 45     2  1370.0
 45     2  1370.0
 46     1  1385.5
 46     1  1385.5
 46     1  1385.5
 46     1  1385.5
 46     2  1401.0
 46     2  1401.0
 46     2  1401.0
 46     2  1401.0
 47     1  1415.5
 47     1  1415.5
 47     1  1415.5
 47     1  1415.5
 47     2  1430.0
 47     2  1430.0
 47     2  1430.0
 47     2  1430.0
 48     1  1445.5
 48     1  1445.5
 48     1  1445.5
 48     1  1445.5
 48     2  1461.0
 48     2  1461.0
 48     2  1461.0
 48     2  1461.0
 49     1  1476.0
 49     1  1476.0
 49     1  1476.0
 49     1  1476.0
 49     2  1491.0
 49     2  1491.0
 49     2  1491.0
 49     2  1491.0
 50     1  1506.5
 50     1  1506.5
 50     1  1506.5
 50     1  1506.5
 50     2  1522.0
 50     2  1522.0
 50     2  1522.0
 50     2  1522.0
 51     1  1537.0
 51     1  1537.0
 51     1  1537.0
 51     1  1537.0
 51     2  1552.0
 51     2  1552.0
 51     2  1552.0
 51     2  1552.0
 52     1  1567.5
 52     1  1567.5
 52     1  1567.5
 52     1  1567.5
 52     2  1583.0
 52     2  1583.0
 52     2  1583.0
 52     2  1583.0
 53     1  1598.5
 53     1  1598.5
 53     1  1598.5
 53     1  1598.5
 53     2  1614.0
 53     2  1614.0
 53     2  1614.0
 53     2  1614.0
 54     1  1629.0
 54     1  1629.0
 54     1  1629.0
 54     1  1629.0
 54     2  1644.0
 54     2  1644.0
 54     2  1644.0
 54     2  1644.0
 55     1  1659.5
 55     1  1659.5
 55     1  1659.5
 55     1  1659.5
 55     2  1675.0
 55     2  1675.0
 55     2  1675.0
 55     2  1675.0
 56     1  1690.0
 56     1  1690.0
 56     1  1690.0
 56     1  1690.0
 56     2  1705.0
 56     2  1705.0
 56     2  1705.0
 56     2  1705.0
 57     1  1720.5
 57     1  1720.5
 57     1  1720.5
 57     1  1720.5
 57     2  1736.0
 57     2  1736.0
