MF6Name,Well_Name,x,y,layer,mag,mag2,nInterp,localx,localy,Row,Column,nInterp,ibound1,ibound2,ibound3,ibound4,Column1,Column2,Column3,Column4,Row1,Row2,Row3,Row4,Weight1,Weight2,Weight3,Weight4,Node,Node1,Node2,Node3,Node4
H022A,332255104360401,537052.3,3693712.5,3,,,4,26989.300000000047,105788.5,241,135,4,1,1,1,1,134,135,134,135,240,240,241,241,0.12516989503039114,0.24624106495940445,0.21184195576106138,0.41674708424914303,71175,70878,70879,71174,71175
H023A,332244104335501,540386.8,3693387.0,3,,,4,30323.800000000047,105463.0,242,151,4,1,1,1,1,151,152,151,152,242,242,243,243,0.5735437455951033,0.17981662980871577,0.18777018107335228,0.05886944352282861,71487,71487,71488,71783,71784
H024A,332231104290701,547830.1,3693020.6,1,,,4,37767.09999999998,105096.6000000001,244,188,4,1,1,1,1,188,189,188,189,244,244,245,245,0.7091532337312764,0.2228439029869788,0.05174313149613637,0.016259731785608512,72116,72116,72117,72412,72413
H025A,LFD Level 826171,549659.5,3692769.6,3,,,4,39596.5,104845.6000000001,245,197,4,1,1,1,1,197,198,197,198,245,245,246,246,0.45642049413163616,0.22786328857408408,0.2105841984637488,0.10513201883053092,72421,72421,72422,72717,72718
H026A,332150104353201,537887.0,3691713.9,3,,,4,27824.0,103789.8999999999,251,139,4,1,1,1,1,138,139,138,139,250,250,251,251,0.08193716262384006,0.3544940789214601,0.10580641488385593,0.4577623435708439,74139,73842,73843,74138,74139
H027A,332112104285901,548048.9,3690588.8,1,,,4,37985.90000000002,102664.79999999981,256,189,4,1,1,1,1,189,190,189,190,256,256,257,257,0.5679477734041757,0.27564564105100836,0.10530045693078022,0.051106128614035705,75669,75669,75670,75965,75966
H028A,332105104285401,548179.2,3690373.9,1,,,4,38116.19999999995,102449.8999999999,257,190,4,1,1,1,1,189,190,189,190,257,257,258,258,0.01979492495892278,0.755537135802327,0.005735974588153077,0.21893196465059728,75966,75965,75966,76261,76262
H029A,332007104361801,536710.2,3688537.4,3,,,4,26647.199999999953,100613.3999999999,266,133,4,1,1,1,1,132,133,132,133,266,266,267,267,0.02428252790410409,0.6218639765064674,0.013298001802939866,0.3405554937864887,78573,78572,78573,78868,78869
H030A,331956104213501,559538.8,3688312.1,1,,,4,49475.80000000005,100388.1000000001,267,246,4,1,1,1,1,246,247,246,247,267,267,268,268,0.2932468609026659,0.23294020662028933,0.26405847592960596,0.20975445654743902,78982,78982,78983,79278,79279
H031A,331952104311001,544674.5,3688108.9,3,,,4,34611.5,100184.8999999999,268,173,4,1,1,1,1,172,173,172,173,268,268,269,269,0.23083901737248166,0.28524704004856316,0.21644882164804322,0.26746512093091196,79205,79204,79205,79500,79501
