wkt_geom	row	column_	Node	x	y	ibound_nvi	ib_rch	ibound_lsp	wbs
MultiPolygon (((6480538.83760455250740051 1870664.94665214419364929, 6481008.68377773463726044 1870835.95680880546569824, 6481179.69393439590930939 1870366.11030755937099457, 6480709.84776121377944946 1870195.10047899186611176, 6480538.83760455250740051 1870664.94665214419364929)))	319	121	57361	6480859.3	1870515.5	1	1	1	25
MultiPolygon (((6482418.22295339405536652 1871348.98695072531700134, 6482888.06912657618522644 1871519.99710738658905029, 6483059.07928323745727539 1871050.15060614049434662, 6482589.23278199136257172 1870879.14077757298946381, 6482418.22295339405536652 1871348.98695072531700134)))	319	125	57365	6482738.7	1871199.6	1	1	1	25
MultiPolygon (((6482888.06912657618522644 1871519.99710738658905029, 6483357.91562782227993011 1871691.00726406276226044, 6483528.92545638978481293 1871221.16076283156871796, 6483059.07928323745727539 1871050.15060614049434662, 6482888.06912657618522644 1871519.99710738658905029)))	319	126	57366	6483208.5	1871370.6	1	1	1	25
MultiPolygon (((6483357.91562782227993011 1871691.00726406276226044, 6483827.76180100440979004 1871862.01709267497062683, 6483998.7719576507806778 1871392.17091949284076691, 6483528.92545638978481293 1871221.16076283156871796, 6483357.91562782227993011 1871691.00726406276226044)))	319	127	57367	6483678.3	1871541.6	1	1	1	25
MultiPolygon (((6481179.69393439590930939 1870366.11030755937099457, 6481649.54043564200401306 1870537.12046422064304352, 6481820.55026423931121826 1870067.27429106831550598, 6481350.70409105718135834 1869896.26413440704345703, 6481179.69393439590930939 1870366.11030755937099457)))	320	122	57542	6481500.1	1870216.7	1	1	1	25
MultiPolygon (((6481649.54043564200401306 1870537.12046422064304352, 6482119.38660882413387299 1870708.13062091171741486, 6482290.39676548540592194 1870238.28444772958755493, 6481820.55026423931121826 1870067.27429106831550598, 6481649.54043564200401306 1870537.12046422064304352)))	320	123	57543	6481970	1870387.7	1	1	1	25
MultiPolygon (((6482119.38660882413387299 1870708.13062091171741486, 6482589.23278199136257172 1870879.14077757298946381, 6482760.24293865263462067 1870409.29427632689476013, 6482290.39676548540592194 1870238.28444772958755493, 6482119.38660882413387299 1870708.13062091171741486)))	320	124	57544	6482439.8	1870558.7	1	0	1	25
