SITENO,SITENAME,CATEGORY,AGENCY,x,y,MFName,SITEURL
11458000,NAPA R NR NAPA CA,ST,USGS,6474715.3,1896061.3,NapaR_Napa,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11458000
11456000,NAPA R NR ST HELENA CA,ST,USGS,6431250.291,1948340.296,NapaR_Helena,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11456000
