wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active
NC-190,-6,279,118,0.06624814,-0.284069008,58607.9655,105216.8759,6472487.182,1888716.627,1
NC-192,-8,321,139,0.090464546,-0.355722502,69072.13875,84204.76773,6489506.852,1872550.662,0
NC-194,-4,342,87,-0.417166565,0.029067139,43264.53357,73958.58328,6468760.038,1854095.677,0
NC-196,-4,399,106,-0.220988934,-0.336343989,52581.82801,45360.49447,6487296.553,1830408.966,0
NC-199,-5,85,47,0.099242377,-0.351424635,23074.28768,202200.3788,6405926.135,1967698.075,1
NC-20,-2,327,145,-0.452453729,0.160090047,72330.04502,81476.22686,6493501.499,1871100.942,0
NC-203,-4,88,51,0.315868452,0.43008379,25465.04189,200592.0658,6408722.785,1967004.441,1
NC-204,-5,190,92,0.345491674,0.27561772,45887.80886,149577.2542,6445362.001,1926051.197,1
NC-212,-3,139,80,-0.014870586,0.393432752,39946.71638,175257.4353,6430996.061,1948150.7,1
NC-214s,-2,317,124,-0.146380373,-0.303584799,61598.2076,86323.19019,6481759.111,1871985.093,1
NC-215d,3,317,124,-0.146380373,-0.303584799,61598.2076,86323.19019,6481759.111,1871985.093,1
NC-216s,-2,262,108,0.101608293,-0.243023247,53628.48838,113699.1959,6464906.88,1894984.319,1
NC-217d,3,262,108,0.101608293,-0.243023247,53628.48838,113699.1959,6464906.88,1894984.319,1
NC-218s,-2,267,126,0.054990276,0.003747336,62751.87367,111222.5049,6474327.136,1895777.372,1
NC-219d,3,267,126,0.054990276,0.003747336,62751.87367,111222.5049,6474327.136,1895777.372,1
NC-22,1,332,151,-0.425798942,-0.150375067,75174.81247,78962.89947,6497034.314,1869712.154,0
NC-220s,-2,223,113,0.246978133,-0.244839004,56127.5805,133126.5109,6460610.725,1914094.763,1
NC-221d,3,223,113,0.246978133,-0.244839004,56127.5805,133126.5109,6460610.725,1914094.763,1
NC-222s,-2,139,81,-0.102665445,-0.400832912,40049.58354,175301.3327,6431077.711,1948227.133,1
NC-223d,3,139,81,-0.102665445,-0.400832912,40049.58354,175301.3327,6431077.711,1948227.133,1
NC-224,-4,104,64,0.437850787,0.150943487,31825.47174,192531.0746,6417456.655,1961604.982,1
NC-225,-4,105,61,0.168767934,0.220871274,30360.43564,192165.616,6416204.966,1960760.492,1
NC-226,-5,301,141,-0.147027394,0.373743379,70436.87169,94323.5137,6487328.467,1882525.939,1
NC-227,-4,277,98,0.329330465,0.494889136,48997.44457,106085.3348,6463159.216,1886245.719,1
NC-228,-3,278,132,-0.480563782,-0.178129964,65660.93502,105990.2819,6478850.285,1891855.648,1
NC-229,-3,286,133,0.385463934,-0.303342786,66098.32861,101557.268,6480777.48,1887839.575,1
NC-230,-5,49,14,-0.326265294,0.185944917,6842.972459,220413.1326,6384444.56,1979261.029,1
NC-35,1,334,138,0.061270957,-0.071419476,68714.29026,77719.36452,6491388.723,1866333.985,0
NC-43,-3,287,140,-0.081483178,-0.277452211,69611.27389,101290.7416,6484169.726,1888790.62,1
NC-51,-8,298,148,0.180054838,0.213261412,73856.63071,95659.97258,6490084.893,1884951.426,1
NC-56,-5,292,137,0.139374901,0.390792151,68445.39608,98680.31255,6483966.979,1885938.866,1
NC-72,-4,325,141,-0.33743907,0.229011762,70364.50588,82418.71954,6491332.145,1871314.341,0
NC-74,-5,321,143,0.169996372,-0.059514616,71220.24269,84165.00181,6491539.011,1873247.989,0
NC-75,-4,285,131,0.305239687,-0.195169531,65152.41523,102097.3802,6479703.883,1888023.593,1
NC-76,-6,277,136,-0.411687284,-0.275197082,67612.40146,106455.8436,6480524.832,1892960.574,1
NC-8,1,325,150,-0.302029035,0.172120236,74836.06012,82401.01452,6495540.087,1872827.065,0
NC-81,-6,328,143,0.281583421,0.005033796,71252.5169,80609.20829,6492785.491,1869917.674,0
NC-91,-3,321,149,0.201174894,0.111033156,74305.51658,84149.41255,6494443.551,1874288.565,0
NC-95,4,306,144,0.215949485,-0.385624603,71557.1877,91642.02526,6489298.343,1880389.334,1
NC-98,-7,304,147,0.093345631,-0.160437813,73169.78109,92703.32718,6490450.698,1881938.171,1
SL29MW-1,1,297,114,0.195022804,0.239160152,56869.58008,96152.4886,6473953.837,1879604.326,1
SL29MW-3A,1,297,114,0.36565759,0.406645026,56953.32251,96067.1712,6474061.709,1879552.795,1
SL29MW-3B,1,297,114,0.371125031,0.399987809,56949.9939,96064.43748,6474059.516,1879549.088,1
SL29MW-3C,-2,297,114,0.371918605,0.406787824,56953.39391,96064.0407,6474062.847,1879549.878,1
SL29MW-4A,1,298,115,-0.491221824,-0.18795444,57156.02278,95995.61091,6474276.66,1879554.878,1
SL29MW-4B,1,298,115,-0.48569999,-0.186867239,57156.56638,95992.85,6474278.115,1879552.47,1
SL29MW-4C,-2,298,115,-0.480473319,-0.186160578,57156.91971,95990.23666,6474279.341,1879550.135,1
SL29MW-5A,1,298,115,-0.191662357,-0.198714881,57150.64256,95845.83118,6474322.832,1879412.291,1
SL29MW-5B,1,298,115,-0.185397503,-0.197717502,57151.14125,95842.69875,6474324.372,1879409.518,1
SL29MW-5C,-2,298,115,-0.179530028,-0.195901472,57152.04926,95839.76501,6474326.229,1879407.072,1
SL71MW-1,1,154,77,0.303610939,0.283291643,38391.64582,167598.1945,6432154.388,1940421.503,1
SL71MW-2,1,154,78,0.131879852,-0.388665574,38555.66721,167684.0601,6432279.15,1940558.289,1
SL71MW-4,1,155,78,-0.329705502,-0.285994414,38607.00279,167414.8528,6432419.464,1940322.874,1
SL82MW-10,3,316,115,0.25121102,0.446579713,57473.28986,86624.39449,6477779.939,1870857.327,0
SL82MW-11,-2,316,116,0.429233365,-0.225154598,57637.4227,86535.38332,6477964.617,1870829.821,0
SL82MW-12,2,316,116,0.440929302,-0.482754025,57508.62299,86529.53535,6477845.585,1870780.273,0
SL82MW-13,3,316,116,0.431758231,-0.499257695,57500.37115,86534.12088,6477836.262,1870781.76,0
SL82MW-14,3,316,116,0.423107888,-0.236540135,57631.72993,86538.44606,6477958.22,1870830.752,0
SL82MW-2,1,317,116,-0.48155662,-0.188722708,57655.63865,86490.77831,6477996.99,1870794.136,0
SL82MW-3,1,316,116,0.308935148,-0.378030659,57560.98467,86595.53243,6477872.216,1870860.199,0
SL82MW-4,1,317,115,-0.446925838,0.346495223,57423.24761,86473.46292,6477784.536,1870698.382,0
SL82MW-6,1,316,115,0.335173111,0.284660493,57392.33025,86582.41344,6477718.22,1870790.188,0
SL82MW-9,-2,316,115,0.271802724,0.481695342,57490.84767,86614.09864,6477799.959,1870853.657,0
SLMW-6,1,316,115,0.335173111,0.284660493,57392.33025,86582.41344,6477718.22,1870790.188,0
T006BC-1,1,282,109,0.237397546,-0.318446363,54090.77682,103631.3012,6468784.711,1885681.704,1
T006NP-7,1,283,109,-0.282242532,-0.13090382,54184.54809,103391.1213,6468954.974,1885488.081,1
